,2017,Tesla,Tesla Motors,Model X P90D,TSL,10,0.0,,Auto(A1),38,37,38,27.931,27.518,27.7452,38.0455,37.4864,37.7939,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,250,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21350,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 375,,,,,N,N,,,N,No,P90D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3250,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,247.3,252.7,250,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,, ,,2017 Tesla Model X AWD - P100D,,,,,, ,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,, ,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,2017 Tesla Model X AWD - P100D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X P100D,TSL,13,0.0,,Auto(A1),81,92,86,111,124.7,116.7731,81.474,91.5298,85.7115,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,289,EL,Electricity,MPG,miles per gallon,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21352,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 375,,,,,N,N,,,N,No,P100D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3250,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,276.1,305.8,289,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Tesla,Tesla Motors,Model X P100D,TSL,13,0.0,,Auto(A1),41,37,39,30.3543,27.0196,28.8537,41.369,36.8241,39.3238,,,,A,Automatic,,1,N,N,A,All Wheel Drive,,,289,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,4,Vehicle can not operate on gasoline or diesel fuel,,,,,,,750,750,,,,,,,,,,,,,,,,,,,,,,,33,Standard SUV 4WD,,Electric Vehicle 2-cycle label,12/26/16,21352,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,350,250,150,On-Board,,,Electrical Regen Brake,,Both,N,,,,"Three battery sizes (75kwh, 90kWh and 100kWh) is available for 2017MY Model X AWD vehicles.",2,AC Induction,,193 and 375,,,,,N,N,,,N,No,P100D,,,,,,,,,,10,10,,HTSLV00.0L2X,10,,,,,,,,,,,,,,,3250,,0,0,0,,12 hrs (standard charger); 4.75 hrs (with 80A dual charger option),,,,,,276.1,305.8,289,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,, ,,2017 Volkswagen e-Golf,,,,,, ,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,, ,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,2017 Volkswagen e-Golf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2017,Volkswagen Group of,Volkswagen,e-Golf,VGA,100,0.0,,Auto(A1),126,111,119,177,156.3,167.0447,125.67,110.973,118.6017,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,125,EL,Electricity,MPG,miles per gallon,N,Not exempt,,,,,91,17,550,550,,,,,,,,,,,,,,,,,,,,,,,4,Compact Cars,car,Electric Vehicle 2-cycle label,2/1/17,21382,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,370,111,104.1,Off-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,Engine code EAZA,1,Other,"Synchron Motor, permanet, AC 3",100,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HVGAV00.0VZZ,10,,,,,,,,,,,,,,,4250,,0,0,0,,5.3,,,,,,130.3,117.7,125,,,,,,,,,,,,,,,,,,,,,,,,,
, ,    ( All charge depleting values are the average of the B-Mode  and the D-Mode),,,,,,,,27,30,28,19.0384,21.5703,20.1778,26.8202,30.3723,28.4186,,,,A,Automatic,,1,Y,N,F,"2-Wheel Drive, Front",,,125,EL,Electricity,KW-HR/100Miles,kilowatt-hour per 100 miles,N,Not exempt,,,,,91,17,550,550,,,,,,,,,,,,,,,,,,,,,,,4,Compact Cars,car,Electric Vehicle 2-cycle label,2/1/17,21382,,N,N,,,N,N,,,,,,,,Battery(s),,1,Lithium Ion,,370,111,104.1,Off-Board,,,Electrical Regen Brake,,Front Wheels,Y,,,,Engine code EAZA,1,Other,"Synchron Motor, permanet, AC 3",100,,,,,N,Y,,,N,No,,,,,,,,,,,10,10,,HVGAV00.0VZZ,10,,,,,,,,,,,,,,,4250,,0,0,0,,5.3,,,,,,130.3,117.7,125,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,(Sorted by Division Name),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
